word1	first2	first3	Word2	first2	first3	same first two 	sane first three	same with next	numletter1	numletter2	problem					
number	nu	num	nugget	nu	nug	TRUE	FALSE	FALSE	6	6						
oatmeal	oa	oat	oasis	oa	oas	TRUE	FALSE	FALSE	7	5						
obesity	ob	obe	oblique	ob	obl	TRUE	FALSE	FALSE	7	7						
ocean	oc	oce	occur	oc	occ	TRUE	FALSE	FALSE	5	5						
olive	ol	oli	older	ol	old	TRUE	FALSE	FALSE	5	5						
opinion	op	opi	optimal	op	opt	TRUE	FALSE	FALSE	7	7						
orange	or	ora	origin	or	ori	TRUE	FALSE	FALSE	6	6						
ounce	ou	oun	outline	ou	out	TRUE	FALSE	FALSE	5	7						
oxygen	ox	oxy	oxfords	ox	oxf	TRUE	FALSE	FALSE	6	7	"""s"" at end is ok?"					
pancake	pa	pan	paper	pa	pap	TRUE	FALSE	FALSE	7	5						
pepper	pe	pep	pencil	pe	pen	TRUE	FALSE	FALSE	6	6						
phone	ph	pho	phase	ph	pha	TRUE	FALSE	FALSE	5	5						
pizza	pi	piz	piano	pi	pia	TRUE	FALSE	FALSE	5	5						
plant	pl	pla	plenty	pl	ple	TRUE	FALSE	FALSE	5	6						
popcorn	po	pop	potato	po	pot	TRUE	FALSE	FALSE	7	6						
proud	pr	pro	private	pr	pri	TRUE	FALSE	FALSE	5	7						
pumpkin	pu	pum	puddle	pu	pud	TRUE	FALSE	FALSE	7	6						
pyramid	py	pyr	python	py	pyt	TRUE	FALSE	FALSE	7	6						
quilt	qu	qui	quality	qu	qua	TRUE	FALSE	FALSE	5	7						
rabbit	ra	rab	racket	ra	rac	TRUE	FALSE	FALSE	6	6						
regard	re	reg	realm	re	rea	TRUE	FALSE	FALSE	6	5						
river	ri	riv	ribbon	ri	rib	TRUE	FALSE	FALSE	5	6						
rocket	ro	roc	rotate	ro	rot	TRUE	FALSE	FALSE	6	6						
runner	ru	run	rumor	ru	rum	TRUE	FALSE	FALSE	6	5						
savage	sa	sav	salmon	sa	sal	TRUE	FALSE	FALSE	6	6						
scarf	sc	sca	school	sc	sch	TRUE	FALSE	FALSE	5	6						
search	se	sea	series	se	ser	TRUE	FALSE	FALSE	6	6						
shelter	sh	she	shovel	sh	sho	TRUE	FALSE	FALSE	7	6						
signal	si	sig	silver	si	sil	TRUE	FALSE	FALSE	6	6						
skeptic	sk	ske	skyline	sk	sky	TRUE	FALSE	FALSE	7	7						
slipper	sl	sli	sleep	sl	sle	TRUE	FALSE	FALSE	7	5						
smile	sm	smi	smoke	sm	smo	TRUE	FALSE	FALSE	5	5						
snail	sn	sna	sneak	sn	sne	TRUE	FALSE	FALSE	5	5						
socket	so	soc	sobber	so	sob	TRUE	FALSE	FALSE	6	6						
spoon	sp	spo	space	sp	spa	TRUE	FALSE	FALSE	5	5						
stone	st	sto	steep	st	ste	TRUE	FALSE	FALSE	5	5						
suffer	su	suf	sudden	su	sud	TRUE	FALSE	FALSE	6	6						
swirl	sw	swi	swear	sw	swe	TRUE	FALSE	FALSE	5	5						
system	sy	sys	symbol	sy	sym	TRUE	FALSE	FALSE	6	6						
target	ta	tar	tattoo	ta	tat	TRUE	FALSE	FALSE	6	6						
teacup	te	tea	temple	te	tem	TRUE	FALSE	FALSE	6	6						
those	th	tho	thick	th	thi	TRUE	FALSE	FALSE	5	5						
ticket	ti	tic	timber	ti	tim	TRUE	FALSE	FALSE	6	6						
tomato	to	tom	toggle	to	tog	TRUE	FALSE	FALSE	6	6						
travel	tr	tra	treat	tr	tre	TRUE	FALSE	FALSE	6	5						
tunnel	tu	tun	turtle	tu	tur	TRUE	FALSE	FALSE	6	6						
twist	tw	twi	twelve	tw	twe	TRUE	FALSE	FALSE	5	6						
tycoon	ty	tyc	tyrant	ty	tyr	TRUE	FALSE	FALSE	6	6						
ulcer	ul	ulc	ultima	ul	ult	TRUE	FALSE	FALSE	5	6						
unicorn	un	uni	until	un	unt	TRUE	FALSE	FALSE	7	5						
urgent	ur	urg	urine	ur	uri	TRUE	FALSE	FALSE	6	5						
usual	us	usu	useful	us	use	TRUE	FALSE	FALSE	5	6						
utter	ut	utt	utility	ut	uti	TRUE	FALSE	FALSE	5	7						
vaccum	va	vac	vanish	va	van	TRUE	FALSE	FALSE	6	6						
velvet	ve	vel	verify	ve	ver	TRUE	FALSE	FALSE	6	6						
violin	vi	vio	vitamin	vi	vit	TRUE	FALSE	FALSE	6	7						
volcano	vo	vol	vowel	vo	vow	TRUE	FALSE	FALSE	7	5						
wander	wa	wan	wallet	wa	wal	TRUE	FALSE	FALSE	6	6						
wheat	wh	whe	whale	wh	wha	TRUE	FALSE	FALSE	5	5						
yellow	ye	yel	yeild	ye	yei	TRUE	FALSE	FALSE	6	5						
youth	yo	you	yogurt	yo	yog	TRUE	FALSE	FALSE	5	6						
zebra	ze	zeb	zenith	ze	zen	TRUE	FALSE	FALSE	5	6	is it commonly used?					
zipper	zi	zip	zigzag	zi	zig	TRUE	FALSE	FALSE	6	6	is this a word£¿					
aesthetic	ae	aes	aerial	ae	aer	TRUE	FALSE	FALSE	9	6	not commonly used and over 7 letters					
ahead	ah	ahe	ahold	ah	aho	TRUE	FALSE	FALSE	5	5	only one commonly used word					
axiom	ax	axi	axial	ax	axi	TRUE	TRUE	FALSE	5	5	hard to find third letter different 					
dynamic	dy	dyn	dynasty	dy	dyn	TRUE	TRUE	FALSE	7	7	first 4 letter share					
effect	ef	eff	effort	ef	eff	TRUE	TRUE	FALSE	6	6	hard to find third letter different 					
eggplant	eg	egg	egress	eg	egr	TRUE	FALSE	FALSE	8	6	hard to find 5-7 letters					
equal	eq	equ	equivoke	eq	equ	TRUE	TRUE	FALSE	5	8	hard to find third letter different 					
ghost	gh	gho				FALSE	FALSE	FALSE	5	0	hard to find third letter different 					
irrigate	ir	irr	iritic	ir	iri	TRUE	FALSE	FALSE	8	6	not commonly used					
jigsaw	ji	jig	jiggle	ji	jig	TRUE	TRUE	FALSE	6	6	not commonly used					
oddity	od	odd	odious	od	odi	TRUE	FALSE	FALSE	6	6	not commonly used with criterion					
oil	oi	oil	ointment	oi	oin	TRUE	FALSE	FALSE	3	8	hard to find 5-7 letters					
owner	ow	own	owl	ow	owl	TRUE	FALSE	FALSE	5	3	hard to find 5-7 letters					
square	sq	squ				FALSE	FALSE	FALSE	6	0	hard to find third letter different 					
ubiquity	ub	ubi				FALSE	FALSE	FALSE	8	0	second word not frequent					
udder	ud	udd	udon	ud	udo	TRUE	FALSE	FALSE	5	4	hard to find 5-7 letters					
yankee	ya	yan	yard	ya	yar	TRUE	FALSE	FALSE	6	4	hard to find 5-7 letters					
